From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function)
P07738,P07738,reviewed,PMGE_HUMAN,"Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (2,3-diphosphoglycerate mutase) (DPGM) (BPG-dependent PGAM)",BPGM,Homo sapiens (Human),259,carbohydrate derivative catabolic process [GO:1901136]; carbohydrate metabolic process [GO:0005975]; cellular response to stress [GO:0033554]; defense response to protozoan [GO:0042832]; erythrocyte development [GO:0048821]; establishment of blood-brain barrier [GO:0060856]; glycolytic process [GO:0006096]; neuroinflammatory response [GO:0150076]; oxygen transport [GO:0015671]; respiratory gaseous exchange by respiratory system [GO:0007585],cytosol [GO:0005829]; extracellular exosome [GO:0070062],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; bisphosphoglycerate mutase activity [GO:0004082]; hydrolase activity [GO:0016787]; phosphoglycerate mutase activity [GO:0004619]; carbohydrate derivative catabolic process [GO:1901136]; carbohydrate metabolic process [GO:0005975]; cellular response to stress [GO:0033554]; defense response to protozoan [GO:0042832]; erythrocyte development [GO:0048821]; establishment of blood-brain barrier [GO:0060856]; glycolytic process [GO:0006096]; neuroinflammatory response [GO:0150076]; oxygen transport [GO:0015671]; respiratory gaseous exchange by respiratory system [GO:0007585],bisphosphoglycerate mutase activity [GO:0004082]; hydrolase activity [GO:0016787]; phosphoglycerate mutase activity [GO:0004619]
P01780,P01780,reviewed,HV307_HUMAN,Immunoglobulin heavy variable 3-7 (Ig heavy chain V-III region GAL) (Ig heavy chain V-III region GAR) (Ig heavy chain V-III region JON),IGHV3-7,Homo sapiens (Human),117,immune response [GO:0006955]; immunoglobulin mediated immune response [GO:0016064],blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immune response [GO:0006955]; immunoglobulin mediated immune response [GO:0016064],antigen binding [GO:0003823]
P51888,P51888,reviewed,PRELP_HUMAN,Prolargin (Proline-arginine-rich end leucine-rich repeat protein),PRELP SLRR2A,Homo sapiens (Human),382,cellular senescence [GO:0090398]; skeletal system development [GO:0001501],extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202],extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; extracellular matrix structural constituent [GO:0005201]; extracellular matrix structural constituent conferring compression resistance [GO:0030021]; heparin binding [GO:0008201]; cellular senescence [GO:0090398]; skeletal system development [GO:0001501],extracellular matrix structural constituent [GO:0005201]; extracellular matrix structural constituent conferring compression resistance [GO:0030021]; heparin binding [GO:0008201]
Q16853,Q16853,reviewed,AOC3_HUMAN,Amine oxidase [copper-containing] 3 (EC 1.4.3.21) (Amine oxidase copper-containing 3) (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1),AOC3 VAP1,Homo sapiens (Human),763,amine metabolic process [GO:0009308]; cell adhesion [GO:0007155]; inflammatory response [GO:0006954],cell surface [GO:0009986]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; microvillus [GO:0005902]; plasma membrane [GO:0005886],cell surface [GO:0009986]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; identical protein binding [GO:0042802]; primary methylamine oxidase activity [GO:0008131]; protein heterodimerization activity [GO:0046982]; quinone binding [GO:0048038]; amine metabolic process [GO:0009308]; cell adhesion [GO:0007155]; inflammatory response [GO:0006954],calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; identical protein binding [GO:0042802]; primary methylamine oxidase activity [GO:0008131]; protein heterodimerization activity [GO:0046982]; quinone binding [GO:0048038]
P02792,P02792,reviewed,FRIL_HUMAN,Ferritin light chain (Ferritin L subunit),FTL,Homo sapiens (Human),175,intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826],autolysosome [GO:0044754]; autophagosome [GO:0005776]; azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ferritin complex [GO:0070288]; membrane [GO:0016020],autolysosome [GO:0044754]; autophagosome [GO:0005776]; azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ferritin complex [GO:0070288]; membrane [GO:0016020]; ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826],ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]
P04433,P04433,reviewed,KV311_HUMAN,Immunoglobulin kappa variable 3-11 (Ig kappa chain V-III region VG),IGKV3-11,Homo sapiens (Human),115,adaptive immune response [GO:0002250]; immune response [GO:0006955],blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; adaptive immune response [GO:0002250]; immune response [GO:0006955],antigen binding [GO:0003823]
Q9H4M9,Q9H4M9,reviewed,EHD1_HUMAN,EH domain-containing protein 1 (PAST homolog 1) (hPAST1) (Testilin),EHD1 PAST PAST1 CDABP0131,Homo sapiens (Human),534,cellular response to nerve growth factor stimulus [GO:1990090]; cholesterol homeostasis [GO:0042632]; cilium assembly [GO:0060271]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; low-density lipoprotein particle clearance [GO:0034383]; neuron projection development [GO:0031175]; positive regulation of cholesterol storage [GO:0010886]; positive regulation of endocytic recycling [GO:2001137]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neuron projection development [GO:0010976]; protein homooligomerization [GO:0051260]; protein localization to cilium [GO:0061512]; protein localization to plasma membrane [GO:0072659],ciliary pocket membrane [GO:0020018]; cilium [GO:0005929]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; lipid droplet [GO:0005811]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet dense tubular network membrane [GO:0031095]; presynaptic active zone [GO:0048786]; recycling endosome membrane [GO:0055038],ciliary pocket membrane [GO:0020018]; cilium [GO:0005929]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endocytic vesicle [GO:0030139]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; lipid droplet [GO:0005811]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet dense tubular network membrane [GO:0031095]; presynaptic active zone [GO:0048786]; recycling endosome membrane [GO:0055038]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; protein-macromolecule adaptor activity [GO:0030674]; small GTPase binding [GO:0031267]; cellular response to nerve growth factor stimulus [GO:1990090]; cholesterol homeostasis [GO:0042632]; cilium assembly [GO:0060271]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; low-density lipoprotein particle clearance [GO:0034383]; neuron projection development [GO:0031175]; positive regulation of cholesterol storage [GO:0010886]; positive regulation of endocytic recycling [GO:2001137]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neuron projection development [GO:0010976]; protein homooligomerization [GO:0051260]; protein localization to cilium [GO:0061512]; protein localization to plasma membrane [GO:0072659],ATP binding [GO:0005524]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; protein-macromolecule adaptor activity [GO:0030674]; small GTPase binding [GO:0031267]
P05155,P05155,reviewed,IC1_HUMAN,Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1),SERPING1 C1IN C1NH,Homo sapiens (Human),500,"blood circulation [GO:0008015]; blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; negative regulation of complement activation, lectin pathway [GO:0001869]",blood microparticle [GO:0072562]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093],"blood microparticle [GO:0072562]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]; serine-type endopeptidase inhibitor activity [GO:0004867]; blood circulation [GO:0008015]; blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; negative regulation of complement activation, lectin pathway [GO:0001869]",serine-type endopeptidase inhibitor activity [GO:0004867]
P37840,P37840,reviewed,SYUA_HUMAN,Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP),SNCA NACP PARK1,Homo sapiens (Human),140,"adult locomotory behavior [GO:0008344]; amyloid fibril formation [GO:1990000]; behavioral response to cocaine [GO:0048148]; cellular response to copper ion [GO:0071280]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to oxidative stress [GO:0034599]; chemical synaptic transmission [GO:0007268]; dopamine biosynthetic process [GO:0042416]; dopamine uptake involved in synaptic transmission [GO:0051583]; excitatory postsynaptic potential [GO:0060079]; fatty acid metabolic process [GO:0006631]; glutathione metabolic process [GO:0006749]; long-term synaptic potentiation [GO:0060291]; microglial cell activation [GO:0001774]; mitochondrial ATP synthesis coupled electron transport [GO:0042775]; mitochondrial membrane organization [GO:0007006]; negative regulation of apoptotic process [GO:0043066]; negative regulation of chaperone-mediated autophagy [GO:1904715]; negative regulation of dopamine metabolic process [GO:0045963]; negative regulation of dopamine uptake involved in synaptic transmission [GO:0051585]; negative regulation of exocytosis [GO:0045920]; negative regulation of microtubule polymerization [GO:0031115]; negative regulation of mitochondrial electron transport, NADH to ubiquinone [GO:1902957]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of norepinephrine uptake [GO:0051622]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of serotonin uptake [GO:0051612]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron apoptotic process [GO:0051402]; neutral lipid metabolic process [GO:0006638]; phospholipid metabolic process [GO:0006644]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endocytosis [GO:0045807]; positive regulation of exocytosis [GO:0045921]; positive regulation of hydrogen peroxide catabolic process [GO:1903285]; positive regulation of inflammatory response [GO:0050729]; positive regulation of inositol phosphate biosynthetic process [GO:0060732]; positive regulation of neurotransmitter secretion [GO:0001956]; positive regulation of protein localization to cell periphery [GO:1904377]; positive regulation of receptor recycling [GO:0001921]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of SNARE complex assembly [GO:0035543]; protein destabilization [GO:0031648]; protein tetramerization [GO:0051262]; receptor internalization [GO:0031623]; regulation of acyl-CoA biosynthetic process [GO:0050812]; regulation of dopamine secretion [GO:0014059]; regulation of glutamate secretion [GO:0014048]; regulation of locomotion [GO:0040012]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of macrophage activation [GO:0043030]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of norepinephrine uptake [GO:0051621]; regulation of presynapse assembly [GO:1905606]; regulation of reactive oxygen species biosynthetic process [GO:1903426]; regulation of synaptic vesicle recycling [GO:1903421]; response to desipramine [GO:1904307]; response to interleukin-1 [GO:0070555]; response to iron(II) ion [GO:0010040]; response to lipopolysaccharide [GO:0032496]; response to magnesium ion [GO:0032026]; response to type II interferon [GO:0034341]; response to xenobiotic stimulus [GO:0009410]; SNARE complex assembly [GO:0035493]; supramolecular fiber organization [GO:0097435]; synapse organization [GO:0050808]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle exocytosis [GO:0016079]; synaptic vesicle priming [GO:0016082]; synaptic vesicle transport [GO:0048489]",actin cytoskeleton [GO:0015629]; axon [GO:0030424]; axon terminus [GO:0043679]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; growth cone [GO:0030426]; inclusion body [GO:0016234]; Lewy body [GO:0097413]; lysosome [GO:0005764]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nuclear outer membrane [GO:0005640]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; ribosome [GO:0005840]; supramolecular fiber [GO:0099512]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195],"actin cytoskeleton [GO:0015629]; axon [GO:0030424]; axon terminus [GO:0043679]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; growth cone [GO:0030426]; inclusion body [GO:0016234]; Lewy body [GO:0097413]; lysosome [GO:0005764]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nuclear outer membrane [GO:0005640]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]; ribosome [GO:0005840]; supramolecular fiber [GO:0099512]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195]; actin binding [GO:0003779]; alpha-tubulin binding [GO:0043014]; beta-tubulin binding [GO:0048487]; calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; cuprous ion binding [GO:1903136]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; dynein complex binding [GO:0070840]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; ferrous iron binding [GO:0008198]; histone binding [GO:0042393]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; microtubule binding [GO:0008017]; oxidoreductase activity [GO:0016491]; phospholipase binding [GO:0043274]; phospholipid binding [GO:0005543]; phosphoprotein binding [GO:0051219]; protein domain specific binding [GO:0019904]; protein kinase inhibitor activity [GO:0004860]; protein sequestering activity [GO:0140311]; SNARE binding [GO:0000149]; tau protein binding [GO:0048156]; transcription cis-regulatory region binding [GO:0000976]; transporter regulator activity [GO:0141108]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270]; adult locomotory behavior [GO:0008344]; amyloid fibril formation [GO:1990000]; behavioral response to cocaine [GO:0048148]; cellular response to copper ion [GO:0071280]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to oxidative stress [GO:0034599]; chemical synaptic transmission [GO:0007268]; dopamine biosynthetic process [GO:0042416]; dopamine uptake involved in synaptic transmission [GO:0051583]; excitatory postsynaptic potential [GO:0060079]; fatty acid metabolic process [GO:0006631]; glutathione metabolic process [GO:0006749]; long-term synaptic potentiation [GO:0060291]; microglial cell activation [GO:0001774]; mitochondrial ATP synthesis coupled electron transport [GO:0042775]; mitochondrial membrane organization [GO:0007006]; negative regulation of apoptotic process [GO:0043066]; negative regulation of chaperone-mediated autophagy [GO:1904715]; negative regulation of dopamine metabolic process [GO:0045963]; negative regulation of dopamine uptake involved in synaptic transmission [GO:0051585]; negative regulation of exocytosis [GO:0045920]; negative regulation of microtubule polymerization [GO:0031115]; negative regulation of mitochondrial electron transport, NADH to ubiquinone [GO:1902957]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of norepinephrine uptake [GO:0051622]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of serotonin uptake [GO:0051612]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron apoptotic process [GO:0051402]; neutral lipid metabolic process [GO:0006638]; phospholipid metabolic process [GO:0006644]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endocytosis [GO:0045807]; positive regulation of exocytosis [GO:0045921]; positive regulation of hydrogen peroxide catabolic process [GO:1903285]; positive regulation of inflammatory response [GO:0050729]; positive regulation of inositol phosphate biosynthetic process [GO:0060732]; positive regulation of neurotransmitter secretion [GO:0001956]; positive regulation of protein localization to cell periphery [GO:1904377]; positive regulation of receptor recycling [GO:0001921]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of SNARE complex assembly [GO:0035543]; protein destabilization [GO:0031648]; protein tetramerization [GO:0051262]; receptor internalization [GO:0031623]; regulation of acyl-CoA biosynthetic process [GO:0050812]; regulation of dopamine secretion [GO:0014059]; regulation of glutamate secretion [GO:0014048]; regulation of locomotion [GO:0040012]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of macrophage activation [GO:0043030]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of norepinephrine uptake [GO:0051621]; regulation of presynapse assembly [GO:1905606]; regulation of reactive oxygen species biosynthetic process [GO:1903426]; regulation of synaptic vesicle recycling [GO:1903421]; response to desipramine [GO:1904307]; response to interleukin-1 [GO:0070555]; response to iron(II) ion [GO:0010040]; response to lipopolysaccharide [GO:0032496]; response to magnesium ion [GO:0032026]; response to type II interferon [GO:0034341]; response to xenobiotic stimulus [GO:0009410]; SNARE complex assembly [GO:0035493]; supramolecular fiber organization [GO:0097435]; synapse organization [GO:0050808]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle exocytosis [GO:0016079]; synaptic vesicle priming [GO:0016082]; synaptic vesicle transport [GO:0048489]",actin binding [GO:0003779]; alpha-tubulin binding [GO:0043014]; beta-tubulin binding [GO:0048487]; calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; cuprous ion binding [GO:1903136]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; dynein complex binding [GO:0070840]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; ferrous iron binding [GO:0008198]; histone binding [GO:0042393]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; microtubule binding [GO:0008017]; oxidoreductase activity [GO:0016491]; phospholipase binding [GO:0043274]; phospholipid binding [GO:0005543]; phosphoprotein binding [GO:0051219]; protein domain specific binding [GO:0019904]; protein kinase inhibitor activity [GO:0004860]; protein sequestering activity [GO:0140311]; SNARE binding [GO:0000149]; tau protein binding [GO:0048156]; transcription cis-regulatory region binding [GO:0000976]; transporter regulator activity [GO:0141108]; tubulin binding [GO:0015631]; zinc ion binding [GO:0008270]
P61224,P61224,reviewed,RAP1B_HUMAN,Ras-related protein Rap-1b (EC 3.6.5.2) (GTP-binding protein smg p21B),RAP1B OK/SW-cl.11,Homo sapiens (Human),184,calcium-ion regulated exocytosis [GO:0017156]; cell population proliferation [GO:0008283]; cellular response to cAMP [GO:0071320]; establishment of endothelial barrier [GO:0061028]; establishment of localization in cell [GO:0051649]; modification of postsynaptic structure [GO:0099010]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of integrin activation [GO:0033625]; Rap protein signal transduction [GO:0032486]; regulation of cell junction assembly [GO:1901888]; regulation of establishment of cell polarity [GO:2000114],azurophil granule membrane [GO:0035577]; cell-cell junction [GO:0005911]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; lipid droplet [GO:0005811]; membrane [GO:0016020]; plasma membrane [GO:0005886],azurophil granule membrane [GO:0035577]; cell-cell junction [GO:0005911]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; lipid droplet [GO:0005811]; membrane [GO:0016020]; plasma membrane [GO:0005886]; G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein-containing complex binding [GO:0044877]; calcium-ion regulated exocytosis [GO:0017156]; cell population proliferation [GO:0008283]; cellular response to cAMP [GO:0071320]; establishment of endothelial barrier [GO:0061028]; establishment of localization in cell [GO:0051649]; modification of postsynaptic structure [GO:0099010]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of integrin activation [GO:0033625]; Rap protein signal transduction [GO:0032486]; regulation of cell junction assembly [GO:1901888]; regulation of establishment of cell polarity [GO:2000114],G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein-containing complex binding [GO:0044877]
P60903,P60903,reviewed,S10AA_HUMAN,Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11),S100A10 ANX2LG CAL1L CLP11,Homo sapiens (Human),97,membrane raft assembly [GO:0001765]; mRNA transcription by RNA polymerase II [GO:0042789]; positive regulation of exocytosis [GO:0045921]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of GTPase activity [GO:0043547]; positive regulation of plasma membrane repair [GO:1905686]; positive regulation of plasminogen activation [GO:0010756]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to plasma membrane [GO:0072659]; regulation of neurogenesis [GO:0050767]; vesicle budding from membrane [GO:0006900],AnxA2-p11 complex [GO:1990665]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; nuclear matrix [GO:0016363]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; RNA polymerase II transcription regulator complex [GO:0090575],AnxA2-p11 complex [GO:1990665]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; nuclear matrix [GO:0016363]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; RNA polymerase II transcription regulator complex [GO:0090575]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; protein homodimerization activity [GO:0042803]; transmembrane transporter binding [GO:0044325]; membrane raft assembly [GO:0001765]; mRNA transcription by RNA polymerase II [GO:0042789]; positive regulation of exocytosis [GO:0045921]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of GTPase activity [GO:0043547]; positive regulation of plasma membrane repair [GO:1905686]; positive regulation of plasminogen activation [GO:0010756]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to plasma membrane [GO:0072659]; regulation of neurogenesis [GO:0050767]; vesicle budding from membrane [GO:0006900],calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; protein homodimerization activity [GO:0042803]; transmembrane transporter binding [GO:0044325]
P08603,P08603,reviewed,CFAH_HUMAN,Complement factor H (H factor 1),CFH HF HF1 HF2,Homo sapiens (Human),1231,"central nervous system myelination [GO:0022010]; complement activation [GO:0006956]; complement activation, alternative pathway [GO:0006957]; inflammatory response [GO:0006954]; proteolysis [GO:0006508]; regulation of complement activation [GO:0030449]; regulation of complement activation, alternative pathway [GO:0030451]; regulation of complement-dependent cytotoxicity [GO:1903659]",blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; serine-type endopeptidase complex [GO:1905370]; symbiont cell surface [GO:0106139],"blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; serine-type endopeptidase complex [GO:1905370]; symbiont cell surface [GO:0106139]; complement component C3b binding [GO:0001851]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; central nervous system myelination [GO:0022010]; complement activation [GO:0006956]; complement activation, alternative pathway [GO:0006957]; inflammatory response [GO:0006954]; proteolysis [GO:0006508]; regulation of complement activation [GO:0030449]; regulation of complement activation, alternative pathway [GO:0030451]; regulation of complement-dependent cytotoxicity [GO:1903659]",complement component C3b binding [GO:0001851]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]
