From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function)
A8MU46,A8MU46,reviewed,SMTL1_HUMAN,Smoothelin-like protein 1,SMTNL1,Homo sapiens (Human),494,muscle organ morphogenesis [GO:0048644]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of vasoconstriction [GO:0045907]; response to activity [GO:0014823]; response to xenobiotic stimulus [GO:0009410]; vasoconstriction [GO:0042310],contractile muscle fiber [GO:0043292]; cytoplasm [GO:0005737]; I band [GO:0031674]; M band [GO:0031430]; nucleus [GO:0005634],contractile muscle fiber [GO:0043292]; cytoplasm [GO:0005737]; I band [GO:0031674]; M band [GO:0031430]; nucleus [GO:0005634]; calmodulin binding [GO:0005516]; CH domain binding [GO:0051401]; disordered domain specific binding [GO:0097718]; protein phosphatase 1 binding [GO:0008157]; tropomyosin binding [GO:0005523]; muscle organ morphogenesis [GO:0048644]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of vasoconstriction [GO:0045907]; response to activity [GO:0014823]; response to xenobiotic stimulus [GO:0009410]; vasoconstriction [GO:0042310],calmodulin binding [GO:0005516]; CH domain binding [GO:0051401]; disordered domain specific binding [GO:0097718]; protein phosphatase 1 binding [GO:0008157]; tropomyosin binding [GO:0005523]
P51668,P51668,reviewed,UB2D1_HUMAN,Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Stimulator of Fe transport) (SFT) (UBC4/5 homolog) (UbcH5) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1),UBE2D1 SFT UBC5A UBCH5 UBCH5A,Homo sapiens (Human),147,negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein polyubiquitination [GO:1902916]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511],cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991],cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein polyubiquitination [GO:1902916]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511],ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
O15382,O15382,reviewed,BCAT2_HUMAN,"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)",BCAT2 BCATM BCT2 ECA40,Homo sapiens (Human),392,branched-chain amino acid biosynthetic process [GO:0009082]; branched-chain amino acid catabolic process [GO:0009083]; brown fat cell differentiation [GO:0050873]; cellular response to leukemia inhibitory factor [GO:1990830]; L-isoleucine catabolic process [GO:0006550]; L-leucine biosynthetic process [GO:0009098]; L-valine biosynthetic process [GO:0009099]; lipid metabolic process [GO:0006629]; regulation of hormone levels [GO:0010817],mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654],mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine-2-oxoglutarate transaminase activity [GO:0052656]; L-leucine-2-oxoglutarate transaminase activity [GO:0052654]; L-valine-2-oxoglutarate transaminase activity [GO:0052655]; branched-chain amino acid biosynthetic process [GO:0009082]; branched-chain amino acid catabolic process [GO:0009083]; brown fat cell differentiation [GO:0050873]; cellular response to leukemia inhibitory factor [GO:1990830]; L-isoleucine catabolic process [GO:0006550]; L-leucine biosynthetic process [GO:0009098]; L-valine biosynthetic process [GO:0009099]; lipid metabolic process [GO:0006629]; regulation of hormone levels [GO:0010817],branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine-2-oxoglutarate transaminase activity [GO:0052656]; L-leucine-2-oxoglutarate transaminase activity [GO:0052654]; L-valine-2-oxoglutarate transaminase activity [GO:0052655]
Q96MF2,Q96MF2,reviewed,STAC3_HUMAN,SH3 and cysteine-rich domain-containing protein 3,STAC3,Homo sapiens (Human),364,neuromuscular synaptic transmission [GO:0007274]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of voltage-gated calcium channel activity [GO:1901387]; skeletal muscle contraction [GO:0003009]; skeletal muscle fiber development [GO:0048741],cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; synapse [GO:0045202]; T-tubule [GO:0030315]; voltage-gated calcium channel complex [GO:0005891],cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; synapse [GO:0045202]; T-tubule [GO:0030315]; voltage-gated calcium channel complex [GO:0005891]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]; neuromuscular synaptic transmission [GO:0007274]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of voltage-gated calcium channel activity [GO:1901387]; skeletal muscle contraction [GO:0003009]; skeletal muscle fiber development [GO:0048741],identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]
Q99643,Q99643,reviewed,C560_HUMAN,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (Malate dehydrogenase [quinone] cytochrome b560 subunit) (QPs-1) (QPs1) (Succinate dehydrogenase complex subunit C) (Succinate-ubiquinone oxidoreductase cytochrome B large subunit) (CYBL)",SDHC CYB560 SDH3,Homo sapiens (Human),169,"aerobic respiration [GO:0009060]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; tricarboxylic acid cycle [GO:0006099]",membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex II (succinate dehydrogenase) [GO:0045273],"membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex II (succinate dehydrogenase) [GO:0045273]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; tricarboxylic acid cycle [GO:0006099]",electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
P27338,P27338,reviewed,AOFB_HUMAN,Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B),MAOB,Homo sapiens (Human),520,dopamine catabolic process [GO:0042420]; hydrogen peroxide biosynthetic process [GO:0050665]; substantia nigra development [GO:0021762],mitochondrial envelope [GO:0005740]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],mitochondrial envelope [GO:0005740]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; monoamine oxidase activity [GO:0097621]; primary methylamine oxidase activity [GO:0008131]; dopamine catabolic process [GO:0042420]; hydrogen peroxide biosynthetic process [GO:0050665]; substantia nigra development [GO:0021762],electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; monoamine oxidase activity [GO:0097621]; primary methylamine oxidase activity [GO:0008131]
O00330,O00330,reviewed,ODPX_HUMAN,"Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)",PDHX PDX1,Homo sapiens (Human),501,pyruvate decarboxylation to acetyl-CoA [GO:0006086],mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; pyruvate dehydrogenase complex [GO:0045254],mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; pyruvate dehydrogenase complex [GO:0045254]; dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]; pyruvate decarboxylation to acetyl-CoA [GO:0006086],dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]
Q92523,Q92523,reviewed,CPT1B_HUMAN,"Carnitine O-palmitoyltransferase 1, muscle isoform (CPT1-M) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, muscle isoform) (CPT I) (CPTI-M) (Carnitine palmitoyltransferase 1B) (Carnitine palmitoyltransferase I-like protein)",CPT1B KIAA1670,Homo sapiens (Human),772,carnitine metabolic process [GO:0009437]; carnitine shuttle [GO:0006853]; fatty acid beta-oxidation [GO:0006635]; fatty acid metabolic process [GO:0006631]; long-chain fatty acid transport [GO:0015909]; response to blue light [GO:0009637],mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; carnitine O-palmitoyltransferase activity [GO:0004095]; carnitine metabolic process [GO:0009437]; carnitine shuttle [GO:0006853]; fatty acid beta-oxidation [GO:0006635]; fatty acid metabolic process [GO:0006631]; long-chain fatty acid transport [GO:0015909]; response to blue light [GO:0009637],carnitine O-palmitoyltransferase activity [GO:0004095]
Q13085,Q13085,reviewed,ACACA_HUMAN,Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha),ACACA ACAC ACC1 ACCA,Homo sapiens (Human),2346,acetyl-CoA metabolic process [GO:0006084]; cellular response to prostaglandin E stimulus [GO:0071380]; fatty acid biosynthetic process [GO:0006633]; fatty-acyl-CoA biosynthetic process [GO:0046949]; lipid homeostasis [GO:0055088]; malonyl-CoA biosynthetic process [GO:2001295]; protein homotetramerization [GO:0051289]; tissue homeostasis [GO:0001894],actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; mitochondrion [GO:0005739],actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; mitochondrion [GO:0005739]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; acetyl-CoA metabolic process [GO:0006084]; cellular response to prostaglandin E stimulus [GO:0071380]; fatty acid biosynthetic process [GO:0006633]; fatty-acyl-CoA biosynthetic process [GO:0046949]; lipid homeostasis [GO:0055088]; malonyl-CoA biosynthetic process [GO:2001295]; protein homotetramerization [GO:0051289]; tissue homeostasis [GO:0001894],acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]
O14521,O14521,reviewed,DHSD_HUMAN,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (CII-4) (Malate dehydrogenase [quinone] cytochrome b small subunit) (QPs3) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone oxidoreductase cytochrome b small subunit) (Succinate-ubiquinone reductase membrane anchor subunit)",SDHD SDH4,Homo sapiens (Human),159,"cellular response to hypoxia [GO:0071456]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; regulation of catecholamine secretion [GO:0050433]; tricarboxylic acid cycle [GO:0006099]",mitochondrial envelope [GO:0005740]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex II (succinate dehydrogenase) [GO:0045273],"mitochondrial envelope [GO:0005740]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex II (succinate dehydrogenase) [GO:0045273]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; succinate dehydrogenase (quinone) activity [GO:0008177]; ubiquinone binding [GO:0048039]; cellular response to hypoxia [GO:0071456]; mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; regulation of catecholamine secretion [GO:0050433]; tricarboxylic acid cycle [GO:0006099]",electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; succinate dehydrogenase (quinone) activity [GO:0008177]; ubiquinone binding [GO:0048039]
O75521,O75521,reviewed,ECI2_HUMAN,"Enoyl-CoA delta isomerase 2 (EC 5.3.3.8) (DRS-1) (Delta(3),delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Diazepam-binding inhibitor-related protein 1) (DBI-related protein 1) (Dodecenoyl-CoA isomerase) (Hepatocellular carcinoma-associated antigen 88) (Peroxisomal 3,2-trans-enoyl-CoA isomerase) (pECI) (Renal carcinoma antigen NY-REN-1)",ECI2 DRS1 HCA88 PECI,Homo sapiens (Human),394,fatty acid beta-oxidation [GO:0006635]; fatty acid catabolic process [GO:0009062],cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777],cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; fatty-acyl-CoA binding [GO:0000062]; fatty acid beta-oxidation [GO:0006635]; fatty acid catabolic process [GO:0009062],delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; fatty-acyl-CoA binding [GO:0000062]
P55822,P55822,reviewed,SH3BG_HUMAN,SH3 domain-binding glutamic acid-rich protein (SH3BGR protein) (21-glutamic acid-rich protein) (21-GARP),SH3BGR,Homo sapiens (Human),239,,cytoplasm [GO:0005737]; nucleus [GO:0005634],cytoplasm [GO:0005737]; nucleus [GO:0005634]; SH3 domain binding [GO:0017124],SH3 domain binding [GO:0017124]
O14732,O14732,reviewed,IMPA2_HUMAN,Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2),IMPA2 IMP.18P,Homo sapiens (Human),288,inositol biosynthetic process [GO:0006021]; inositol metabolic process [GO:0006020]; phosphate-containing compound metabolic process [GO:0006796]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; response to lithium ion [GO:0010226]; signal transduction [GO:0007165],cytoplasm [GO:0005737]; cytosol [GO:0005829],cytoplasm [GO:0005737]; cytosol [GO:0005829]; glucose-1-phosphatase activity [GO:0008877]; glycerol-2-phosphatase activity [GO:0047954]; inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; inositol biosynthetic process [GO:0006021]; inositol metabolic process [GO:0006020]; phosphate-containing compound metabolic process [GO:0006796]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; response to lithium ion [GO:0010226]; signal transduction [GO:0007165],glucose-1-phosphatase activity [GO:0008877]; glycerol-2-phosphatase activity [GO:0047954]; inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]
Q9BSH4,Q9BSH4,reviewed,TACO1_HUMAN,Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I),TACO1 CCDC44 PRO0477,Homo sapiens (Human),297,mitochondrial respiratory chain complex IV assembly [GO:0033617]; motor learning [GO:0061743]; regulation of mitochondrial translation [GO:0070129],mitochondrion [GO:0005739],mitochondrion [GO:0005739]; mitochondrial ribosome binding [GO:0097177]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; mitochondrial respiratory chain complex IV assembly [GO:0033617]; motor learning [GO:0061743]; regulation of mitochondrial translation [GO:0070129],mitochondrial ribosome binding [GO:0097177]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]
P48163,P48163,reviewed,MAOX_HUMAN,NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40) (Malic enzyme 1),ME1,Homo sapiens (Human),572,carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; NAD+ metabolic process [GO:0019674]; NADP+ metabolic process [GO:0006739]; nucleotide biosynthetic process [GO:0009165]; protein homotetramerization [GO:0051289]; regulation of NADP metabolic process [GO:1902031]; response to carbohydrate [GO:0009743]; response to hormone [GO:0009725],cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739],cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; ADP binding [GO:0043531]; electron transfer activity [GO:0009055]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; malate dehydrogenase (decarboxylating) (NADP+) activity [GO:0004473]; malic enzyme activity [GO:0004470]; manganese ion binding [GO:0030145]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxaloacetate decarboxylase activity [GO:0008948]; carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; NAD+ metabolic process [GO:0019674]; NADP+ metabolic process [GO:0006739]; nucleotide biosynthetic process [GO:0009165]; protein homotetramerization [GO:0051289]; regulation of NADP metabolic process [GO:1902031]; response to carbohydrate [GO:0009743]; response to hormone [GO:0009725],ADP binding [GO:0043531]; electron transfer activity [GO:0009055]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; malate dehydrogenase (decarboxylating) (NADP+) activity [GO:0004473]; malic enzyme activity [GO:0004470]; manganese ion binding [GO:0030145]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxaloacetate decarboxylase activity [GO:0008948]
Q5XKP0,Q5XKP0,reviewed,MIC13_HUMAN,MICOS complex subunit MIC13 (Protein P117),MICOS13 C19orf70 MIC13 QIL1,Homo sapiens (Human),118,cristae formation [GO:0042407]; inner mitochondrial membrane organization [GO:0007007],MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; SAM complex [GO:0001401],MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; SAM complex [GO:0001401]; cristae formation [GO:0042407]; inner mitochondrial membrane organization [GO:0007007],
O75155,O75155,reviewed,CAND2_HUMAN,Cullin-associated NEDD8-dissociated protein 2 (Cullin-associated and neddylation-dissociated protein 2) (Epididymis tissue protein Li 169) (TBP-interacting protein of 120 kDa B) (TBP-interacting protein 120B) (p120 CAND2),CAND2 KIAA0667 TIP120B,Homo sapiens (Human),1236,positive regulation of DNA-templated transcription [GO:0045893]; protein ubiquitination [GO:0016567]; SCF complex assembly [GO:0010265],cytosol [GO:0005829]; nucleus [GO:0005634],cytosol [GO:0005829]; nucleus [GO:0005634]; TBP-class protein binding [GO:0017025]; positive regulation of DNA-templated transcription [GO:0045893]; protein ubiquitination [GO:0016567]; SCF complex assembly [GO:0010265],TBP-class protein binding [GO:0017025]
P54922,P54922,reviewed,ADPRH_HUMAN,ADP-ribosylhydrolase ARH1 (EC 3.2.2.19) (ADP-ribose-L-arginine cleaving enzyme) ([Protein ADP-ribosylarginine] hydrolase) (ADP-ribosylarginine hydrolase) (hARH1),ADPRH ARH1,Homo sapiens (Human),357,protein de-ADP-ribosylation [GO:0051725]; protein modification process [GO:0036211],extracellular space [GO:0005615],extracellular space [GO:0005615]; ADP-ribosylarginine hydrolase activity [GO:0003875]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; protein de-ADP-ribosylation [GO:0051725]; protein modification process [GO:0036211],ADP-ribosylarginine hydrolase activity [GO:0003875]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]
Q9NSD9,Q9NSD9,reviewed,SYFB_HUMAN,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS),FARSB FARSLB FRSB HSPC173,Homo sapiens (Human),589,phenylalanyl-tRNA aminoacylation [GO:0006432]; protein heterotetramerization [GO:0051290]; translation [GO:0006412],cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; phenylalanine-tRNA ligase complex [GO:0009328],cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; phenylalanine-tRNA ligase complex [GO:0009328]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; RNA binding [GO:0003723]; phenylalanyl-tRNA aminoacylation [GO:0006432]; protein heterotetramerization [GO:0051290]; translation [GO:0006412],ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; RNA binding [GO:0003723]
Q9H0W9,Q9H0W9,reviewed,BKGD_HUMAN,Beta-keto L-gulonate decarboxylase (BKGD) (EC 4.1.1.34),BKGD C11orf54 LP4947 PTD012,Homo sapiens (Human),315,DNA damage response [GO:0006974]; regulation of DNA repair [GO:0006282],cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; hydrolase activity, acting on ester bonds [GO:0016788]; zinc ion binding [GO:0008270]; DNA damage response [GO:0006974]; regulation of DNA repair [GO:0006282]","hydrolase activity, acting on ester bonds [GO:0016788]; zinc ion binding [GO:0008270]"
O95563,O95563,reviewed,MPC2_HUMAN,Mitochondrial pyruvate carrier 2 (Brain protein 44),MPC2 BRP44,Homo sapiens (Human),127,positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; pyruvate decarboxylation to acetyl-CoA [GO:0006086]; pyruvate import into mitochondria [GO:0006850],inner mitochondrial membrane protein complex [GO:0098800]; mitochondrial inner membrane [GO:0005743]; mitochondrial pyruvate carrier complex [GO:7770001]; mitochondrion [GO:0005739]; nucleus [GO:0005634],inner mitochondrial membrane protein complex [GO:0098800]; mitochondrial inner membrane [GO:0005743]; mitochondrial pyruvate carrier complex [GO:7770001]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; pyruvate transmembrane transporter activity [GO:0050833]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; pyruvate decarboxylation to acetyl-CoA [GO:0006086]; pyruvate import into mitochondria [GO:0006850],identical protein binding [GO:0042802]; pyruvate transmembrane transporter activity [GO:0050833]
Q9Y2Z9,Q9Y2Z9,reviewed,COQ6_HUMAN,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.15.45) (2-methoxy-6-polyprenolphenol 4-hydroxylase) (EC 1.14.15.46) (Coenzyme Q10 monooxygenase 6)",COQ6 CGI-10,Homo sapiens (Human),468,ubiquinone biosynthetic process [GO:0006744],cell projection [GO:0042995]; extrinsic component of mitochondrial inner membrane [GO:0031314]; Golgi apparatus [GO:0005794]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ubiquinone biosynthesis complex [GO:0110142],"cell projection [GO:0042995]; extrinsic component of mitochondrial inner membrane [GO:0031314]; Golgi apparatus [GO:0005794]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ubiquinone biosynthesis complex [GO:0110142]; 2-methoxy-6-polyprenolphenol 4-hydroxylase activity [GO:0120538]; 4-hydroxy-3-all-trans-polyprenylbenzoate oxygenase activity [GO:0106364]; FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; ubiquinone biosynthetic process [GO:0006744]","2-methoxy-6-polyprenolphenol 4-hydroxylase activity [GO:0120538]; 4-hydroxy-3-all-trans-polyprenylbenzoate oxygenase activity [GO:0106364]; FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]"
Q9H1R3,Q9H1R3,reviewed,MYLK2_HUMAN,"Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)",MYLK2,Homo sapiens (Human),596,cardiac muscle contraction [GO:0060048]; cardiac muscle tissue morphogenesis [GO:0055008]; neuromuscular synaptic transmission [GO:0007274]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of gene expression [GO:0010628]; protein autophosphorylation [GO:0046777]; regulation of muscle filament sliding [GO:0032971]; signal transduction [GO:0007165]; skeletal muscle cell differentiation [GO:0035914]; skeletal muscle satellite cell differentiation [GO:0014816]; striated muscle contraction [GO:0006941],cytoplasm [GO:0005737]; nucleus [GO:0005634]; sarcomere [GO:0030017]; synapse [GO:0045202],cytoplasm [GO:0005737]; nucleus [GO:0005634]; sarcomere [GO:0030017]; synapse [GO:0045202]; ATP binding [GO:0005524]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; myosin light chain binding [GO:0032027]; myosin light chain kinase activity [GO:0004687]; cardiac muscle contraction [GO:0060048]; cardiac muscle tissue morphogenesis [GO:0055008]; neuromuscular synaptic transmission [GO:0007274]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of gene expression [GO:0010628]; protein autophosphorylation [GO:0046777]; regulation of muscle filament sliding [GO:0032971]; signal transduction [GO:0007165]; skeletal muscle cell differentiation [GO:0035914]; skeletal muscle satellite cell differentiation [GO:0014816]; striated muscle contraction [GO:0006941],ATP binding [GO:0005524]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; myosin light chain binding [GO:0032027]; myosin light chain kinase activity [GO:0004687]
