Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nCPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nCPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific pTPM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cutaneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
CNOT3,"KIAA0691, LENG2, NOT3, NOT3H",ENSG00000088038,CCR4-NOT transcription complex subunit 3,O75175,19,54137749-54155681,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins","RNA-mediated gene silencing, Transcription, Transcription regulation, Translation regulation","Developmental protein, Repressor","Cancer-related genes, Disease variant, Intellectual disability",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Tuft cells: 34.6,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Testis - Spermatogonia,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA006408,Approved,,Approved,Cytosol,,,NA,NA,,90000,Cluster 29: Non-specific - Unknown function,Cluster 64: Non-specific - Transcription,Cluster 4: Non-specific - mRNA splicing & Cell cycle,Cluster 4: Non-specific - Transcription,Cluster 102: Non-specific - Mixed function,63,Cytosol,,HPA006408: ,unprognostic (8.79e-3),unprognostic (1.78e-1),unprognostic (2.74e-2),potential prognostic unfavorable (8.13e-4),unprognostic (1.08e-1),potential prognostic unfavorable (1.08e-4),unprognostic (1.64e-1),unprognostic (1.52e-1),unprognostic (4.96e-1),unprognostic (1.80e-1),unprognostic (8.11e-3),unprognostic (1.26e-2),unprognostic (9.50e-2),potential prognostic unfavorable (9.45e-5),unprognostic (1.25e-1),unprognostic (5.57e-2),unprognostic (9.39e-2),unprognostic (1.37e-1),unprognostic (1.64e-2),unprognostic (3.47e-2),unprognostic (8.66e-2),unprognostic (1.15e-1),unprognostic (7.98e-3),unprognostic (1.78e-2),unprognostic (6.18e-2),unprognostic (1.75e-1),unprognostic (7.24e-3),unprognostic (7.75e-2),unprognostic (2.11e-1),unprognostic (6.78e-2),unprognostic (1.28e-1)
CNTRL,"CEP1, CEP110",ENSG00000119397,Centriolin,Q7Z7A1,9,121074660-121177729,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins","Cell cycle, Cell division",,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,lymphoid tissue: 20.3;testis: 28.4,Cell type enhanced,Detected in all,,Early primary spermatocytes: 406.1;Ependymal cells: 253.1;Fallopian tube ciliated cells: 257.8;Late primary spermatocytes: 401.9;Monocyte progenitors: 413.7;Neutrophil progenitors: 332.1;Respiratory ciliated cells: 315.6,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adipose visceral - T-cells, Spleen - B-cells (Spleen), Testis - Early spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA020468, HPA020480, HPA051583",Approved,,Supported,"Golgi apparatus,Plasma membrane,Centriolar satellite,Centrosome,Basal body,Cytosol,Flagellar centriole",,,NA,Yes,,,Cluster 22: Eosinophils - Transcription,Cluster 51: Lymphoid tissue - Adaptive immune response,Cluster 6: Non-specific - Immune response,Cluster 43: Non-specific - Basic cellular processes,Cluster 37: Neutrophil progenitors - Granulopoiesis,5,"Centrosome, Basal body, Flagellar centriole","Golgi apparatus, Plasma membrane, Centriolar satellite, Cytosol","HPA020468: , HPA020480: , HPA051583: ",unprognostic (1.81e-3),unprognostic (7.84e-2),,unprognostic (1.06e-1),potential prognostic unfavorable (1.59e-4),unprognostic (6.66e-3),unprognostic (1.19e-1),unprognostic (1.61e-2),potential prognostic favorable (3.61e-4),unprognostic (2.19e-1),unprognostic (2.43e-3),unprognostic (1.32e-1),unprognostic (8.29e-2),unprognostic (6.07e-2),unprognostic (3.06e-1),unprognostic (1.94e-1),unprognostic (5.76e-3),unprognostic (2.03e-1),unprognostic (7.06e-3),unprognostic (7.73e-2),unprognostic (7.42e-2),unprognostic (1.75e-1),unprognostic (1.50e-1),unprognostic (5.04e-2),unprognostic (5.98e-3),potential prognostic favorable (8.97e-6),unprognostic (3.85e-2),unprognostic (4.80e-2),unprognostic (3.55e-1),unprognostic (1.31e-1),unprognostic (1.68e-1)
COL1A1,OI4,ENSG00000108821,Collagen type I alpha 1 chain,P02452,17,50184101-50201632,"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,,"Cancer-related genes, Disease variant, Dwarfism, Ehlers-Danlos syndrome, FDA approved drug targets, Osteogenesis imperfecta, Osteoporosis",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,cervix: 1248.6;gallbladder: 1134.3;ovary: 1143.7,Cell type enhanced,Detected in many,,Decidual stromal cells: 637.4;Endometrial stromal cells: 1897.4;Fibroblasts: 1258.4;Hepatic stellate cells: 6616.2;Leydig cells: 590.8;Ovarian stromal cells: 434.5,Group enriched,Detected in some,6,fibroblast: 118.6;vascular associated smooth muscle cell: 32.3,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enhanced,Detected in all,,Brain cancer: 1387.0,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblasts_2, Pituitary gland - Corticotropes, Skeletal muscle - Fibroblasts, Skin - Fibroblasts_1, Spleen - Fibroblasts_1, Stomach - Fibroblasts, Thyroid gland - Fibroblasts",Low region specificity,Detected in all,,,Region enhanced,Detected in all,,spinal cord: 170.5,"HPA011795, HPA012111",Approved,,Approved,"Endoplasmic reticulum,Vesicles",Secreted to extracellular matrix,No annotated function,NA,NA,,150000000,,Cluster 75: Ovary - Mixed function,Cluster 12: Non-specific - Vasculature,Cluster 64: Connective tissue cells - ECM organization,Cluster 108: Fibroblasts - ECM organization,44,Endoplasmic reticulum,Vesicles,"HPA011795: , HPA012111: ",unprognostic (1.71e-2),unprognostic (3.02e-1),unprognostic (9.50e-2),unprognostic (5.85e-3),unprognostic (2.11e-2),unprognostic (2.74e-1),unprognostic (6.08e-2),unprognostic (9.19e-3),unprognostic (1.40e-1),unprognostic (1.38e-2),unprognostic (1.98e-3),unprognostic (1.00e-1),potential prognostic unfavorable (8.35e-7),unprognostic (4.68e-2),unprognostic (1.75e-1),potential prognostic unfavorable (9.95e-4),unprognostic (3.45e-2),unprognostic (6.12e-2),unprognostic (3.04e-1),unprognostic (4.06e-3),unprognostic (3.29e-2),unprognostic (4.66e-2),unprognostic (9.19e-2),unprognostic (9.67e-2),unprognostic (4.08e-2),unprognostic (7.63e-3),unprognostic (3.39e-2),unprognostic (9.07e-3),unprognostic (6.56e-2),unprognostic (5.02e-2),unprognostic (2.00e-1)
COL2A1,"AOM, SEDC, STL1",ENSG00000139219,Collagen type II alpha 1 chain,P02458,12,47972967-48004554,"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted secreted proteins",,,"Cancer-related genes, Cataract, Deafness, Disease variant, Dwarfism, FDA approved drug targets, Stickler syndrome",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Group enriched,Detected in some,4,epididymis: 18.0;pituitary gland: 8.8;retina: 5.2;stomach 1: 11.6,Cell type enhanced,Detected in some,,Early spermatids: 15.4;Epididymal principal cells: 58.3;Gonadotrophs: 41.0;Granulosa cells: 19.5;Müller glia: 26.2;Neuroendocrine cells: 42.7;Parietal cells: 127.3;Pituitary stem cells: 18.6;Retinal amacrine cells: 41.6;Tuft cells: 34.6,Cell type enhanced,Detected in some,,fibroblast: 2.8;hippocampal dentate gyrus: 5.7,Group enriched,Detected in many,4,Breast Invasive Carcinoma (TCGA): 22.3;Prostate Adenocarcinoma (TCGA): 19.7;Skin Cutaneous Melanoma (TCGA): 14.8;Testicular Germ Cell Tumor (TCGA): 22.7;Uterine Corpus Endometrial Carcinoma (TCGA): 8.9,Not detected,Not detected,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enriched,Detected in many,7,liver cancer: 78.5,"Pituitary gland - Gonadotropes, Testis - Early spermatids, Testis - Late spermatids",Not detected,Not detected,,,Low region specificity,Detected in many,,,"CAB002214, HPA055753",Approved,,Approved,Nucleoplasm,Secreted to extracellular matrix,No annotated function,No,NA,,13000000,,Cluster 22: Epididymis - Mixed function,,Cluster 34: Testis cancer - Unknown function,Cluster 97: Non-specific - Cellular respiration,3,Nucleoplasm,,"CAB002214: , HPA055753: ",unprognostic (6.77e-3),unprognostic (2.16e-1),unprognostic (5.49e-2),unprognostic (7.27e-2),,,unprognostic (2.63e-2),unprognostic (1.11e-1),,,,,,unprognostic (5.52e-2),unprognostic (7.13e-2),unprognostic (1.04e-1),,unprognostic (6.95e-2),unprognostic (7.34e-2),unprognostic (1.23e-1),unprognostic (1.07e-1),,,unprognostic (1.93e-1),,unprognostic (2.54e-2),unprognostic (1.91e-1),unprognostic (5.96e-2),unprognostic (1.81e-1),,unprognostic (1.31e-1)
CREB1,,ENSG00000118260,CAMP responsive element binding protein 1,P16220,2,207529737-207605988,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors","Biological rhythms, Differentiation, Host-virus interaction, Transcription, Transcription regulation","Activator, DNA-binding",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Early spermatids: 620.7;Neutrophils: 618.2,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Testis - Early spermatids,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB003803, HPA019150, HPA072073",Supported,,Enhanced,"Nucleoplasm,Centrosome,Basal body,Cytosol",,,NA,NA,,,Cluster 38: Monocytes & Neutrophils - Degranulation,Cluster 61: Non-specific - Transcription,Cluster 55: Non-specific - Transcription,Cluster 26: Non-specific - Mitochondria & RNA binding,Cluster 31: Neutrophils - Chemotaxis & Apoptosis,54,Nucleoplasm,"Centrosome, Basal body, Cytosol","CAB003803: , HPA019150: , HPA072073: ",unprognostic (4.20e-2),unprognostic (5.53e-2),unprognostic (5.86e-2),unprognostic (6.46e-2),unprognostic (2.84e-2),unprognostic (5.58e-2),unprognostic (2.19e-1),unprognostic (2.75e-2),unprognostic (3.20e-1),unprognostic (1.33e-2),potential prognostic favorable (8.47e-6),unprognostic (3.05e-3),unprognostic (1.46e-2),unprognostic (1.81e-3),unprognostic (5.41e-2),unprognostic (2.83e-1),unprognostic (1.33e-3),unprognostic (1.89e-1),unprognostic (2.11e-2),unprognostic (8.02e-2),unprognostic (3.64e-3),unprognostic (3.11e-2),potential prognostic unfavorable (1.09e-4),unprognostic (4.12e-2),unprognostic (2.47e-2),unprognostic (1.34e-1),unprognostic (3.33e-2),unprognostic (1.69e-2),unprognostic (1.19e-1),unprognostic (2.92e-2),unprognostic (1.07e-1)
CREB3L1,OASIS,ENSG00000157613,CAMP responsive element binding protein 3 like 1,Q96BA8,11,46277662-46321409,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors","Host-virus interaction, Transcription, Transcription regulation, Unfolded protein response","Activator, Developmental protein, DNA-binding","Cancer-related genes, Osteogenesis imperfecta",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,pancreas: 126.4;salivary gland: 79.8,Cell type enhanced,Detected in many,,Breast lactating cells: 606.7;Endometrial luminal cells: 193.9;Foveolar cells: 132.0;Gastric chief cells: 120.1;Goblet cells: 406.4;Mucous neck cells: 158.1;Pancreatic acinar cells: 190.5;Prostatic club cells: 236.2;Respiratory secretory cells: 182.3,Cell type enhanced,Detected in many,,deep-layer corticothalamic and 6b: 21.2;oligodendrocyte precursor cell: 51.2,Cancer enhanced,Detected in all,,Prostate Adenocarcinoma (TCGA): 182.3;Stomach Adenocarcinoma (TCGA): 176.0,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in many,,,"Adipose subcutaneous - Adipose progenitor cells, Heart muscle - Cardiomyocytes, Minor Salivary Gland - Minor salivary glandular cells, Skin - Fibroblasts_1, Spleen - Fibroblasts_1",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA024069, CAB026151, HPA062116",Enhanced,,Approved,"Nucleoplasm,Cytosol",,,NA,NA,,,,Cluster 60: Stomach - Digestion,Cluster 14: Neurons - Synaptic function,Cluster 57: Stomach & Colon cancer - Digestion,Cluster 70: Intestinal goblet cells - Mucin production,172,Nucleoplasm,Cytosol,"CAB026151: , HPA024069: , HPA062116: ",unprognostic (3.69e-2),unprognostic (9.07e-3),unprognostic (2.27e-2),unprognostic (2.63e-2),unprognostic (2.25e-1),unprognostic (4.06e-2),unprognostic (3.42e-3),unprognostic (5.87e-3),unprognostic (3.52e-1),unprognostic (2.65e-2),unprognostic (1.29e-2),unprognostic (1.04e-1),potential prognostic unfavorable (5.72e-6),unprognostic (3.40e-2),unprognostic (1.71e-1),unprognostic (1.89e-2),unprognostic (1.59e-1),potential prognostic unfavorable (2.25e-4),unprognostic (2.66e-1),unprognostic (2.81e-2),unprognostic (6.74e-2),unprognostic (2.84e-2),unprognostic (1.68e-2),unprognostic (4.33e-1),unprognostic (1.80e-1),potential prognostic unfavorable (8.14e-4),unprognostic (7.61e-2),unprognostic (1.41e-1),unprognostic (3.27e-1),potential prognostic unfavorable (4.16e-4),unprognostic (2.25e-1)
CREB3L2,"BBF2H7, TCAG_1951439",ENSG00000182158,CAMP responsive element binding protein 3 like 2,Q70SY1,7,137874979-138002086,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors","Transcription, Transcription regulation, Unfolded protein response","Activator, Developmental protein, DNA-binding","Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Choroid plexus epithelial cells: 341.8;Plasma cells: 698.4;Syncytiotrophoblasts: 325.1,Cell type enhanced,Detected in all,,choroid plexus epithelial cell: 246.4;fibroblast: 202.4,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Testis - Peritubular cells, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA015068, HPA015534",Enhanced,,Supported,"Nucleoplasm,Endoplasmic reticulum",,,NA,NA,,,Cluster 8: Plasmacytoid DCs - Unknown function,Cluster 69: Parathyroid gland - Mixed function,Cluster 36: Choroid plexus - Mixed function,Cluster 63: Non-specific - Protein processing,Cluster 44: Plasma cells - Antibody production & secretion,,"Nucleoplasm, Endoplasmic reticulum",,"HPA015068: , HPA015534: ",unprognostic (2.42e-2),unprognostic (1.55e-1),unprognostic (1.61e-2),unprognostic (4.62e-3),unprognostic (1.34e-1),unprognostic (6.18e-2),unprognostic (1.01e-1),unprognostic (2.11e-2),unprognostic (2.07e-1),unprognostic (1.14e-1),potential prognostic favorable (4.84e-4),unprognostic (8.75e-2),unprognostic (1.04e-1),unprognostic (8.39e-3),unprognostic (1.08e-2),unprognostic (1.51e-1),unprognostic (2.00e-1),unprognostic (1.14e-1),unprognostic (1.86e-1),unprognostic (4.11e-2),unprognostic (1.24e-2),unprognostic (2.52e-1),unprognostic (1.24e-1),unprognostic (2.57e-1),unprognostic (1.98e-2),unprognostic (5.09e-3),unprognostic (2.55e-1),unprognostic (9.63e-3),unprognostic (2.69e-1),unprognostic (7.05e-3),unprognostic (7.11e-2)
CREBBP,"CBP, KAT3A, RSTS, RTS",ENSG00000005339,CREB binding protein,Q92793,16,3725054-3880713,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Biological rhythms, Host-virus interaction, Transcription, Transcription regulation","Activator, Acyltransferase, Transferase","Cancer-related genes, Disease variant, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Neutrophils: 1399.6,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Testis - Spermatocytes, Testis - Spermatogonia",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB004212, HPA055861",Supported,,Enhanced,"Nucleoplasm,Nuclear bodies",,,No,No,,,Cluster 20: Non-specific - DNA binding,Cluster 61: Non-specific - Transcription,Cluster 15: Non-specific - Transcription,Cluster 54: Non-specific - Transcription,Cluster 24: Neutrophils - Innate immunity signal integration,260,"Nucleoplasm, Nuclear bodies",,"CAB004212: , HPA055861: ",unprognostic (3.44e-3),unprognostic (1.50e-1),unprognostic (2.44e-1),unprognostic (6.42e-2),unprognostic (2.35e-1),unprognostic (2.08e-2),unprognostic (2.99e-1),unprognostic (1.29e-1),unprognostic (7.44e-2),unprognostic (5.48e-2),validated prognostic favorable (1.90e-6),validated prognostic favorable (7.46e-4),unprognostic (2.43e-1),unprognostic (3.46e-3),unprognostic (3.97e-1),unprognostic (2.14e-1),unprognostic (6.45e-2),unprognostic (2.39e-1),unprognostic (4.87e-2),unprognostic (8.24e-2),unprognostic (1.16e-1),unprognostic (1.22e-1),unprognostic (1.20e-3),unprognostic (1.49e-1),unprognostic (2.65e-2),unprognostic (3.10e-2),unprognostic (7.99e-2),unprognostic (7.88e-2),unprognostic (1.67e-1),unprognostic (7.22e-3),unprognostic (8.97e-2)
CRLF2,"CRL2, TSLPR",ENSG00000205755,Cytokine receptor like factor 2,Q9HC73,X,1187549-1212723,"Cancer-related genes, Human disease related genes, Predicted membrane proteins",,Receptor,Cancer-related genes,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in some,,bone marrow: 1.7;gallbladder: 1.2;lymphoid tissue: 1.4,Cell type enriched,Detected in some,5,Mast cells: 235.3,Not detected,Not detected,,,Cancer enhanced,Detected in single,,Thyroid Carcinoma (TCGA): 1.6,Not detected,Not detected,,,Immune cell enriched,Detected in single,13,plasmacytoid DC: 1.2,Lineage enriched,Detected in single,13,dendritic cells: 1.2,Group enriched,Detected in some,4,Adrenocortical cancer: 7.0;Leukemia: 7.4;lymphoma: 2.4;Myeloma: 5.2,"Adipose subcutaneous - Mast cells, Adipose visceral - Mast cells, Colon - Mast cells, Lung - Mast cells",Low region specificity,Detected in all,,,Not detected,Not detected,,,HPA075272,,,Approved,Plasma membrane,Intracellular and membrane,Receptor,NA,NA,,,,Cluster 29: Lymphoid tissue & Bone marrow - Innate immune response,,Cluster 6: Leukemia - Signal transduction,Cluster 58: Mast cells - Allergic inflammatory responses,,Plasma membrane,,HPA075272: ,,,,,,,,,,,,,,,,,,,,,,,unprognostic (1.00e-1),,,,,,,unprognostic (2.50e-2),
CRTC1,"FLJ14027, KIAA0616, MECT1, TORC1",ENSG00000105662,CREB regulated transcription coactivator 1,Q6UUV9,19,18683678-18782333,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins","Biological rhythms, Host-virus interaction, Transcription, Transcription regulation",Activator,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,brain: 72.4,Cell type enhanced,Detected in many,,Retinal amacrine cells: 149.5,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA022035, HPA063619",Enhanced,,Supported,"Nucleoplasm,Nuclear bodies,Plasma membrane,Cytosol",,,NA,NA,,,Cluster 32: Basophils - Transcription,Cluster 27: Cerebellum - Synaptic function,Cluster 34: Non-specific - Mixed function,Cluster 23: Non-specific - Transcription,Cluster 109: Neurons - Neuronal signaling,23,"Nuclear bodies, Plasma membrane, Cytosol",Nucleoplasm,"HPA022035: , HPA063619: ",unprognostic (2.92e-2),unprognostic (6.22e-3),unprognostic (1.15e-1),unprognostic (1.53e-1),unprognostic (5.58e-2),unprognostic (9.21e-2),unprognostic (1.41e-1),unprognostic (1.66e-2),unprognostic (6.57e-3),unprognostic (1.79e-1),unprognostic (6.46e-3),unprognostic (3.58e-3),unprognostic (4.91e-2),unprognostic (7.80e-3),unprognostic (7.71e-2),unprognostic (1.09e-1),unprognostic (6.15e-2),unprognostic (6.87e-3),unprognostic (7.44e-2),unprognostic (5.59e-2),unprognostic (2.23e-2),unprognostic (4.22e-3),unprognostic (6.81e-3),unprognostic (4.20e-2),unprognostic (1.26e-1),potential prognostic favorable (2.14e-4),unprognostic (1.20e-1),unprognostic (6.96e-3),unprognostic (4.37e-2),unprognostic (2.43e-2),unprognostic (1.63e-2)
CRTC3,FLJ21868,ENSG00000140577,CREB regulated transcription coactivator 3,Q6UUV7,15,90529923-90645345,"Cancer-related genes, Predicted intracellular proteins","Host-virus interaction, Transcription, Transcription regulation",Activator,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in many,,basophil: 14.3,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adipose subcutaneous - Smooth muscle cells, Spleen - B-cells (Spleen), Testis - Sertoli cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA043735, HPA063691",Approved,,Enhanced,"Nucleoplasm,Cytosol",,,NA,NA,,,Cluster 43: Non-specific - Transcription & Translation,Cluster 12: Smooth muscle tissue - ECM organization,Cluster 13: Oligodendrocytes - Mixed function,Cluster 9: Skin cancer - Melanin biosynthesis,Cluster 9: T-cells - Adaptive immunity: Regulation,24,Nucleoplasm,Cytosol,"HPA043735: , HPA063691: ",unprognostic (1.04e-2),unprognostic (2.68e-1),unprognostic (2.50e-1),unprognostic (2.79e-1),unprognostic (1.42e-1),unprognostic (7.41e-2),unprognostic (8.16e-2),unprognostic (4.47e-1),unprognostic (6.71e-2),unprognostic (5.04e-2),validated prognostic favorable (2.43e-6),validated prognostic favorable (5.75e-4),unprognostic (3.44e-1),unprognostic (8.01e-3),unprognostic (2.00e-1),unprognostic (2.22e-1),unprognostic (1.18e-1),unprognostic (4.98e-2),unprognostic (2.00e-1),unprognostic (1.97e-2),unprognostic (2.58e-1),unprognostic (3.18e-1),unprognostic (1.40e-1),unprognostic (4.75e-1),unprognostic (1.87e-1),unprognostic (6.81e-2),unprognostic (4.57e-2),unprognostic (4.55e-2),unprognostic (8.08e-2),unprognostic (1.20e-1),unprognostic (1.59e-1)
